Brand,Product,Price,Shiping
ASUS,"ASUS ZenBook 14 Ultra-Slim Laptop 14"" Full HD 4-Way NanoEdge Bezel, AMD R7 3700U CPU, 8 GB RAM, 512 GB PCIe SSD, NumberPad, Windows 10 - UM433DA-DH75, Icicle Silver","$799.99 
            
–",$2.99 Shipping
Acer America,"Acer Laptop Aspire 5 A515-54G-54QQ Intel Core i5 8th Gen 8265U (1.60 GHz) 8 GB Memory 512 GB SSD NVIDIA GeForce MX250 15.6"" Windows 10 Home 64-bit (Only @ Newegg)","$499.99 
            
–",Free Shipping
HP,"HP Laptop ProBook 450 G6 5YH15UT#ABA Intel Core i7 8th Gen 8565U (1.80 GHz) 16 GB Memory 256 GB SSD NVIDIA GeForce MX130 15.6"" Windows 10 Pro 64-bit","$859.99 (8 Offers)

–",$2.99 Shipping
MSI,"MSI Laptop Prestige 15 A10SC-010 Intel Core i7 10th Gen 10710U (1.10 GHz) 32 GB Memory 1 TB NVMe SSD NVIDIA GeForce GTX 1650 15.6"" 4K/UHD Windows 10 Pro 64-bit","$1,799.00 (9 Offers)

–",Free Shipping
ASUS,"ASUS ZenBook 14 UX431FN-IH74 Ultra-thin and Light 14-inch FHD Laptop, Intel Core i7-8565U, 16 GB RAM, 512 GB PCIE SSD, GeForce MX150, Windows 10, Silver Blue","$899.99 (2 Offers)

–",Free Shipping
ASUS,"ASUS VivoBook 15 Thin and Light Laptop, 15.6"" Full HD, AMD Quad Core R7-3700U CPU, 8 GB DDR4 RAM, 512 GB SSD, AMD Radeon Vega 10 Graphics, Windows 10 Home, F512DA-NH77, Slate Gray","$659.99 
            
–",$2.99 Shipping
Acer America,"Acer Laptop Aspire 5 A515-54G-70TZ Intel Core i7 8th Gen 8565U (1.80 GHz) 8 GB Memory 512 GB SSD NVIDIA GeForce MX250 15.6"" Windows 10 Home 64-bit (Only @ Newegg)","$599.99 (4 Offers)

–",Free Shipping
Lenovo,"Lenovo Laptop IdeaPad L340 81LW000DUS AMD Ryzen 5 2nd Gen 3500U (2.10 GHz) 8 GB Memory 256 GB SSD AMD Radeon Vega 8 15.6"" Windows 10 Home 64-bit - OEM","$464.99 (8 Offers)

–",Free Shipping
Lenovo,"Lenovo S340 15.6"" IdeaPad FHD Notebook, Quad Core i7-1065G7 upto 3.9GHz, 20GB DDR4, 1TB SSD, USB C 3.1, SD Card Reader, IRIS PLUS UHD Graphics, Windows 10 Pro","$819.99 (2 Offers)

–",Free Shipping
Lenovo,"Lenovo 100e Chromebook 2nd Gen 81QB000AUS Chromebook 11.6"" Chrome OS","$119.99 (7 Offers)

–",Free Shipping
Lenovo,"Lenovo Laptop ThinkPad E585 20KV000WUS AMD Ryzen 5 1st Gen 2500U (2.00 GHz) 8 GB Memory 256 GB SSD AMD Radeon Vega 8 15.6"" Windows 10 Pro 64-bit","$522.99 (2 Offers)

–",Free Shipping
DELL,"Dell i3583-5763BLK-PUS 15.6"" Touch screen Laptop i5-8265U 8GB 256GB SSD Bluetooth Webcam Windows 10 in S mode - Black","$458.99 (3 Offers)

–",$2.99 Shipping
